Timestamp,What is your favorite music genre?,Rate each music genre from 1 (don't like) to 5 (love): [Pop],Rate each music genre from 1 (don't like) to 5 (love): [Hip Hop / Rap],Rate each music genre from 1 (don't like) to 5 (love): [Rock],Rate each music genre from 1 (don't like) to 5 (love): [Country],Rate each music genre from 1 (don't like) to 5 (love): [R&B / Soul],Rate each music genre from 1 (don't like) to 5 (love): [Classical],Rate each music genre from 1 (don't like) to 5 (love): [K-POP],Rate each music genre from 1 (don't like) to 5 (love): [EDM / Electronic],Rate each music genre from 1 (don't like) to 5 (love): [Jazz],What time of day do you listen to music the most?,How many hours do you listen to music?,What do you usually use to listen to music?,Who is your favorite artist right now? (Only one name please),How does your favorite music usually make you feel? (Choose up to 3 emotions that best describe it)
5/1/2025 13:23:19,Jazz,2,4,3,2,3,4,3,4,5,Late night (before bed),1,Spotify,Alfa Mist,"Happy 😊, Energetic ⚡, Relaxed 😌, Confident 💪, Inspired 🌟"
5/1/2025 13:39:03,Country,5,5,2,5,3,2,1,1,4,Morning (before school),7,Spotify,Charlie XCX,"Happy 😊, Focused 🎯, Confident 💪"
5/1/2025 15:25:43,Pop,5,4,1,3,4,2,2,1,2,Afternoon (after school),6,Pandora,Jon Bellion,"Happy 😊, Nostalgic 📸"
5/1/2025 15:26:51,Pop,5,3,1,2,3,2,1,4,2,Afternoon (after school),6,Apple Music,Lorde,"Happy 😊, Energetic ⚡, Relaxed 😌, Focused 🎯, Confident 💪"
5/1/2025 17:08:46,Pop,5,5,4,1,2,1,3,4,2,Morning (before school),10,YouTube,Billie Eilish,"Happy 😊, Energetic ⚡, Confident 💪"
5/6/2025 13:59:40,Rock,3,3,5,2,2,1,1,1,1,Afternoon (after school),3,Apple Music,The Front Bottoms,"Happy 😊, Energetic ⚡, Nostalgic 📸"
5/6/2025 14:01:23,Rock,4,4,5,3,3,3,2,2,3,Morning (before school),3,Apple Music,Hozier,"Sad 😢, Confident 💪, Nostalgic 📸"
4/29/2025 12:40:52,K-POP,4,3,2,1,5,4,5,3,4,Afternoon (after school),3,Spotify,NewJeans ,"Happy 😊, Relaxed 😌, Nostalgic 📸"
4/29/2025 12:53:25,Hip Hop / Rap,4,5,3,2,3,1,1,2,2,Afternoon (after school),1,YouTube,Katy Perry,"Happy 😊, Focused 🎯, Confident 💪, Inspired 🌟"
4/29/2025 13:16:22,Hip Hop / Rap,3,4,1,1,2,1,1,1,3,Late night (before bed),9,Apple Music,Billie Eilish ,"Relaxed 😌, Focused 🎯, Sad 😢"
4/29/2025 14:36:36,Pop,5,4,5,2,3,2,1,1,4,Afternoon (after school),4,Spotify,The Beatles,"Happy 😊, Energetic ⚡, Sad 😢"
4/29/2025 14:39:03,Pop,5,2,2,3,2,1,1,1,3,Morning (before school),5,Apple Music,I don't have one.,"Relaxed 😌, Inspired 🌟, Nostalgic 📸"
4/29/2025 15:16:00,Hip Hop / Rap,2,4,4,1,3,4,2,4,4,Afternoon (after school),1,Spotify,The neighbourhood ,"Happy 😊, Relaxed 😌, Confident 💪"
4/29/2025 16:22:07,K-POP,5,3,2,1,3,2,5,4,3,Late night (before bed),3,Spotify,Itzy,"Happy 😊, Energetic ⚡, Confident 💪"
4/29/2025 19:51:50,Pop,5,2,3,1,5,4,3,2,5,Afternoon (after school),3,Spotify,Laufey,"Relaxed 😌, Focused 🎯"
4/29/2025 21:44:08,Pop,5,3,3,3,2,4,3,1,1,Afternoon (after school),4,Spotify,"No favorites, first name I can think of is Conan Gray","Relaxed 😌, Focused 🎯, Sad 😢"
4/30/2025 11:35:16,Hip Hop / Rap,3,5,5,1,4,5,3,5,5,Afternoon (after school),1,Spotify,The neighbourhood,"Happy 😊, Relaxed 😌, Confident 💪"
4/30/2025 12:23:30,Pop,5,2,1,1,1,2,2,2,1,Afternoon (after school),2,Spotify,Olivia Rodrigo,"Relaxed 😌, Focused 🎯, Inspired 🌟"
4/30/2025 12:35:24,K-POP,5,4,1,1,4,1,5,1,1,Afternoon (after school),3,Spotify,BLACKPINK ,"Happy 😊, Energetic ⚡, Confident 💪"
4/30/2025 21:04:43,Pop,5,4,1,2,1,2,3,5,2,Afternoon (after school),2,Spotify,Vexento,"Happy 😊, Energetic ⚡, Relaxed 😌"
4/30/2025 22:58:47,EDM / Electronic,5,3,4,2,3,4,5,5,4,Late night (before bed),5,Spotify,Maretu,"Happy 😊, Energetic ⚡, Inspired 🌟"
5/5/2025 20:04:00,Pop,5,1,1,1,1,1,1,1,1,Afternoon (after school),2,Apple Music,Bruno mars,"Happy 😊, Energetic ⚡, Relaxed 😌"
